subject,body,label
Reminder: Office Renovation Schedule,"Dear all,

Please note that the main office on Level 3 will undergo renovation starting next Monday. Noise and limited access may affect surrounding areas. Teams located on this floor are requested to temporarily relocate to the shared workspace in Building B, Room 210.

We appreciate your cooperation and understanding during this improvement phase.

Best,  
Morgan Liu  
Facilities Coordinator, Oakridge Finance",legitimate
System Maintenance Notice: Saturday Downtime,"Hi team,

This is to inform you that our internal servers will be undergoing scheduled maintenance on Saturday between 2:00 AM and 6:00 AM AEST. During this time, access to the payroll system and client database will be temporarily unavailable.

Please ensure that any critical tasks are completed ahead of time.

Regards,  
Tina Gallagher  
IT Operations, QuantumSoft",legitimate
Annual Charity Drive â€“ Get Involved!,"Hello team,

Our annual charity drive in support of the Melbourne Food Bank kicks off this week! You can donate canned goods, hygiene items, or make a monetary contribution via the donation box near Reception.

Let‘s work together to make a difference this season.

Warmly,  
Zachary Patel  
Community Outreach, BlueRiver Health",legitimate
Invitation: Mental Health Awareness Workshop,"Dear colleagues,

You‘re invited to attend a Mental Health Awareness workshop next Tuesday at 11 AM in the Horizon Room. The session, led by licensed psychologist Dr. Karen Zhao, will explore strategies for managing stress and promoting well-being at work.

Spaces are limited, so please RSVP by Friday.

Best wishes,  
Amelia Rhodes  
Wellness Coordinator, Skyreach Analytics",legitimate
New Corporate Branding Guidelines Released,"Hi team,

Our new corporate branding guidelines are now live. These include updated color palettes, font usage, and logo placements for all external and internal communication materials.

Please review the full guideline document available on the Marketing portal and begin using the new templates starting next week.

Thanks,  
Isaac Nguyen  
Brand Manager, Aurora Media Group",legitimate
Holiday Office Closure Notification,"Dear team,

Please be reminded that the office will be closed from December 24th to January 2nd for the holiday break. All essential personnel schedules have been finalized.

Wishing you and your families a safe and joyful holiday season!

Cheers,  
Maya Thompson  
Executive Assistant, Pinecrest Logistics",legitimate
Customer Success Case Study: UrbanPay Solutions,"Hi team,

We’ve just published a new case study highlighting our work with UrbanPay Solutions. It‘s a great showcase of our consulting impact and cross-department collaboration.

Feel free to share it with clients or during demos. You can find it in the Sales Toolkit.

Best,  
Ryan Walsh  
Client Engagement Lead, VividPath Technologies",legitimate
Kudos to the Logistics Team for Exceeding Q3 Targets!,"Hello everyone,

Please join me in congratulating the Logistics Team for exceeding their Q3 targets by 18%! Their dedication, coordination, and attention to detail made this milestone possible.

We’ll celebrate this achievement with morning tea in the lounge on Friday at 10 AM.

Well done!  
Bianca Martinez  
Chief Operations Officer, Pinecrest Logistics",legitimate
Your Custom Wellness Plan is Ready!,"Hi Grace,

As requested during our last consultation, I’ve put together your personalized 4-week wellness plan. It includes tailored meal guides, beginner-friendly HIIT routines, and daily tracking templates. I’ve uploaded everything to your profile on the FitSphere client portal.

Let me know if you’d like to schedule a check-in session next week.

Stay strong,
Danielle Marsh
Certified Wellness Coach, FitSphere Melbourne",legitimate
Congratulations! Your Photo Has Been Shortlisted,"Hi Nathan,

We’re excited to inform you that your submission to the 2025 “Moments of Light” Photography Challenge has been shortlisted! Your photo titled ""Still Waters"" stood out for its composition and emotional depth.

Our final judging panel will convene on October 15, and winners will be announced the following week. In the meantime, feel free to share your entry on social media using #MomentsOfLight2025.

Warm regards,
Jasmine Ko
Program Coordinator
Creative Shutter Awards",legitimate
October Book Club Pick: “The Midnight Library” by Matt Haig,"Hi Priya,

Just a reminder that our next book club meeting is scheduled for October 25 at 7 PM via Zoom. This month’s selection is The Midnight Library by Matt Haig – an uplifting novel that explores the paths we could have taken.

We’ll discuss themes of regret, mental health, and alternate realities. Please RSVP by next Tuesday so we can send out the discussion prompts.

Happy reading!
Laura Chen
Book Club Host
Melbourne Readers Circle",legitimate
You’re Enrolled! Beginner Digital Illustration – Term 4,"Hi Lily,

We’re thrilled to confirm your enrollment in our Term 4 class: Beginner Digital Illustration with Procreate. Classes begin Monday, October 21, 6:30–8:30 PM at the Docklands Art Hub (Studio 3).

Please bring your iPad with the Procreate app installed. A stylus (Apple Pencil or equivalent) is also required. All other materials will be provided.

Looking forward to seeing your creativity shine!
Michael Tan
Instructor & Curriculum Designer
VisualCore Studios",legitimate
Your Seat is Reserved – Vegan Dumpling Workshop,"Hi Sarah,

Thank you for registering for our Vegan Dumpling Workshop hosted by chef Alan Wu! The session will take place on Sunday, October 13, 2–5 PM at Kitchen Collective, Collingwood.

We’ll explore dough making, folding techniques, and three plant-based fillings. All ingredients and tools will be provided. Just bring an apron and an appetite!

Excited to cook together,
Felix Ho
Event Organizer
Local Pantry Workshops",legitimate
Upcoming Trail Hike – Wilsons Promontory Coastal Walk,"Hi Daniel,

You’re confirmed for our October hike at Wilsons Promontory! We'll meet at Tidal River Visitor Centre at 9:00 AM sharp on Saturday, October 19. The route is approx. 12km return, with ocean views and some moderate inclines.

Please bring water, snacks, sun protection, and suitable footwear. Let us know if you’ll be carpooling or need assistance.

See you on the trail!
Stephanie Gale
Coordinator
Melbourne Weekend Explorers",legitimate
Your Device is Eligible for a Free Battery Service,"Hi Jason,

As part of our October device support campaign, your iPhone 12 Pro (purchased March 2021) qualifies for a complimentary battery health check and service. Appointments are available at our South Yarra store until October 31.

Book your slot online or call 1300-APPLE-CARE.

Thanks for choosing AppleCare+,
Aiden Charles
Service Coordinator, Apple South Yarra",legitimate
New Match Alert – Meet Someone Who Shares Your Passions,"Hi Mia,

We’ve found a promising match based on your recent activity and interests in travel, books, and café culture. Alex, 34, is also based in Fitzroy and enjoys weekend hikes and writing.

You can view Alex’s profile by logging into your MyHeartMatch account.

Happy connecting,
Rachel Monroe
Member Experience, MyHeartMatch Australia",legitimate
Weekly Briefing: Market Insights & Tech Picks,"Hi Declan,

Here’s your investor briefing for the week ending October 4. We’ve included commentary on the recent uptick in energy stocks and a spotlight on three undervalued tech plays, including insights from our crypto desk on Solana’s momentum.

Full PDF attached.

Let me know if you'd like to schedule a call to review your portfolio.

Best regards,
Natalie Ho
Private Wealth Advisor, SilverHill Capital",legitimate
"You Have 6,200 Velocity Points Expiring Soon","Dear Olivia,

We noticed you still have 6,200 Velocity Points that are set to expire on November 3. You can redeem them for flight upgrades, lounge access, or gift cards via your Velocity Rewards account.

Don’t miss out – reward yourself!

Safe travels,
Marcus Lin
Loyalty Program Manager, Velocity Rewards",legitimate
Baxter's Nominated for Our Pet of the Month Contest!,"Hi Taylor,

We’re excited to let you know that your photo submission of Baxter has been selected as a finalist in our October “Pet of the Month” contest! The winner will receive a 3-month supply of BarkJoy premium treats.

Voting closes Sunday – good luck!

Best woofs,
Anthony Yee
Social Media Coordinator, BarkJoy Australia",legitimate
Final Warning: Your Account Will Be Suspended in 24 Hours,"Dear Customer,

We have detected suspicious activity in your online account. For your protection, we will suspend your account in the next 24 hours unless you verify your identity immediately.

Please confirm your account details now to avoid service interruption:

 Verify Now Securely[This is a link]

Failure to act will result in permanent account closure and data loss.

Sincerely,
Security Team
PaypaI Services
support@paypai-security-alert.com",phishing
URGENT: Unauthorized Login Detected from Unknown Device,"Hi,

Your account was accessed from an unrecognized device in Moscow, Russia on October 5, 3:41 AM.

If this wasn't you, your account is at high risk. We have temporarily locked access until you confirm your login details.

?? Click below to secure your account:
Recover My Account [this is a link]

You must respond within 12 hours, or your account will be permanently deactivated for security reasons.

Stay safe,
Account Security Department
Netfl!x Support
netflixsafety@consultant.com",phishing
Immediate Action Required – Your Bank Access is Blocked,"Dear Valued User,

Due to multiple failed login attempts, your Commonwealth Bank online profile has been temporarily disabled for your protection.

To regain access and prevent account lockout, please complete verification now:

? Reactivate Account

If no action is taken within 24 hours, your online banking will be permanently suspended.

Commonwealth Bank Security Team
support@commonwealth-login-verification.com",phishing
