body,label
content length number apple iss research center a us money million joint venture between apple computer inc and the institute of systems science of the national university of singapore located in singapore is looking for a senior speech scientist the successful candidate will have research expertise in computational linguistics including natural language processing and english and chinese statistical language modeling knowledge of state of the art corpus based n gram language models cache language models and part of speech language models are required a text to speech project leader the successful candidate will have research expertise expertise in two or more of the following areas computational linguistics including natural language parsing lexical database design and statistical language modeling text tokenization and normalization prosodic analysis substantial knowledge of the phonology syntax and semantics of chinese is required knowledge of acoustic phonetics and or speech signal processing is desirable both candidates will have a phd with at least number to number years of relevant work experience or a technical msc degree with at least number to number years of experienc e very strong software engineering skills including design and implementation and productization are required in these positions knowledge of c c and unix are preferred a unix c programmer we are looking for an experienced unix c programmer preferably with good industry experience to join us in breaking new frontiers strong knowledge of unix tools compilers linkers make x windows e mac and experience in matlab required sun and silicon graphic experience is an advantage programmers with less than two years industry experience need not apply these positions include interaction with scientists in the national university of singapore and with apple s speech research and productization efforts located in cupertino california attendance and publication in international scientific engineering conferences is encouraged benefits include an internationally competitive salary housing subsidy and relocation expenses _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ _ send a complete resume enclosing personal particulars qualifications experience and contact telephone number to mr jean luc lebrun center manager apple iss research center institute of systems science heng mui keng terrace singapore number tel number phone fax number phone email email,legitimate
lang classification grimes joseph e and barbara f grimes ethnologue language family index pb isbn number number number number vi number pp money number summer institute of linguistics this companion volume to ethnologue languages of the world twelfth edition lists language families of the world with sub groups shown in a tree arrangement under the broadest classification of language family the language family index facilitates locating language names in the ethnologue making the data there more accessible internet academic email languages reference lang culture gregerson marilyn ritual belief and kinship in sulawesi pb isbn number number number number ix number pp money number summer institute of linguistics seven articles discuss five language groups in sulawesi indonesia the primary focus is on cultural matters with some linguistic content topics include traditional religion and beliefs certain ceremonies and kinship internet academic email language and society indonesia computers ling weber david j stephen r mcconnel diana d weber and beth j bryson primer a tool for developing early reading materials pb isbn number number number number xvi number pp ms dos software money number summer institute of linguistics the authors present a computer program and instructions for developing reading materials in languages with little or no background in literacy the book is structured as a how to manual with step by step procedures to establish an appropriate primer sequence and to organize words phrases and sentences that correlate with the sequence it presupposes a thorough knowledge of linguistics internet academic email literacy computer,legitimate
i am posting this inquiry for sergei atamas email a research associate at the university of maryland at baltimore his field is molecular biology and his work involves comparing dna strings using various algorithms i do n t understand the details well enough to pass them along at any rate one such algorithm relies upon frequencies with which the letters g a t and c occur in the dna strings he would like to explore the analogous use of letter sound frequencies in natural language texts hence this posting specifically sergei wonders if any linguist subscribers could help steer him to recent literature concerning text identification based on letter frequencies any suggestions could be sent directly to him at the above address or to me and i ll pass them along he would also be interested in collaborative work if this research connects with the work of any linguists or text processing specialists he observes that very often work in one field would actually help work in a far removed field if only people knew what was going on over there george fowler george fowler email email dept of slavic languages number number phone home try here first ballantine number number number phone number number dept indiana university number number phone office bloomington in number usa number number phone dept fax,legitimate
a colleague and i are researching the differing degrees of risk perceived by our hong kong students in different contexts where spoken english is required we would be interested to find out more about research in the area of risk taking in language learning so far we have n t come up with much can anyone help here,legitimate
earlier this morning i was on the phone with a friend of mine living in south america as we were talking in spanish he said si voy a la liberi a comprare el libro which can be rendered into english as if i go to the bookstore i will purchase it i found this expression a bit unusual so i asked him saying that he really meant to say si fuese a la libreri a comprari a el libro or if i were to go to the bookstore i would buy it to which he said to me ah the subjunctive is dead in spanish weather this is a matter of subjunctive discussion or not is something to be left for another time nevertheless he mentioned in the course of our conversation that there is a book a spanish translation of a french original titled something like la muerte del subjuntivo or the demise death of the subjunctive does any one know of this book or books which may deal with similar content any and all help will be appreciated joseph m kozono,legitimate
content length number call for papers is the best good enough workshop on optimality in syntactic theory to be held at the massachusetts institute of technology cambridge ma may phone syntactic research in a variety of frameworks is assigning a growing role to the notion of comparison this work which is at the forefront of current research includes theories involving principles of economy and optimality much of this work is still unpublished or in formative stages legendre raymond and smolensky number grimshaw number pesetsky number chomsky number number number the relevant data vary from one account to another but empirical comparisons of these proposals now can and should be undertaken from may number number number mit will be hosting a workshop to explore and clarify particular issues of syntactic theories in which comparison plays a significant role the workshop will consist of invited talks and talks selected from anonymously submitted abstracts abstracts are invited to address the following questions what is the nature of the candidate or reference set for comparison which linguistic objects compete for the best choice what criteria determine the optimal output from a set of candidates does the grammar compare derivations as with the economy principles of chomsky number number or representations as in the optimality theoretic analyses developed for phonology by prince and smolensky number is language acquisition or variation explained by parameterization or constraint re ranking what are the computational implications and requirements of the different approaches invited talks will be presented by joan bresnan stanford noam chomsky mit jane grimshaw rutgers david pesetsky mit paul smolensky and geraldine legendre johns hopkins university edward stabler ucla submissions for consideration must be received by march number number via mail or fax transmission authors whose abstracts are accepted will be requested to provide a more complete paper by mid april to prepare focused discussion we may be able to assist with travel costs for student or unemployed presenters eight or nine number minute time slots are reserved for accepted papers each with an additional number minutes for questions and discussion abstracts should be anonymous and not longer than two pages mailing address good enough mit 20d number number massachusetts avenue cambridge ma number mailings should include six copies of an anonymous abstract with a cover sheet indicating the paper title author s name affiliation address phone number and email address fax transmissions may be made to number phone attention david pesetsky and should also include the cover sheet any further questions may be addressed by email to email detailed conference information will also be made available via anonymous ftp to broca mit edu in the pub good enough directory references cited above chomsky n number some notes on economy of derivation and representation in laka i and a mahajan ed _ mit working papers in linguistics number cambridge mit working papers in linguistics chomsky n number a minimalist program for linguistic theory in hale k and j keyser ed _ a view from building number _ cambridge mit press chomsky n number bare phrase structure occasional paper number cambridge mit working papers in linguistics grimshaw j number minimal projection heads and optimality ms rutgers university available by anonymous ftp from ruccs rutgers edu as pub ot papers minproj ps to appear in linguistic inquiry legendre g w raymond and p smolensky number an optimality theoretic typology of case and grammatical voice systems _ proceedings of the nineteenth annual meeting of the berkeley linguistic society _ berkeley ca number number pesetsky d in prep _ syntax at the edge optimality effects in sentence grammar _ handouts only available by anonymous ftp from ruccs rutgers edu as pub ot papers sentpron ps prince a and p smolensky number _ optimality theory constraint interaction in generative grammar _ ruccs technical report number rutgers university center for cognitive science piscataway new jersey to appear mit press,legitimate
m a in scandinavian linguistics at the university of tromsoe phone corrected version the linguistics section of the institute for language and literature at the university of tromsoe norway offers a one year course leading up to a master of arts degree starting the fall of number the course is designed to prepare students for research in generative syntax and phonology with special attention to the scandinavian languages the course is open to students from all countries with a background in linguistics corresponding roughly to a b a with a major in linguistics or a norwegian cand mag the course is equivalent to number e c t s credits instruction will be in english proficiency in a scandinavian language is not required nor is previous knowledge of scandinavian grammar those who wish may follow a course in norwegian for foreigners during the whole year students pay no tuition only a nominal registration fee a limited number of grants are available for students from eastern europe or developing countries the course will consist of lectures seminars and tutorials with examinations at the end of each term fall and spring term in addition the students are required to write two research papers in the fall of number there will be a lecture series on scandinavian syntax and another one on scandinavian phonology in addition there will be seminars tutorials and a crash course in icelandic grammar in the spring of1996 there will be a lecture series on historical scandinavian linguistics plus seminars and tutorials also during spring term the students will write their two research papers the teachers are anders holmberg and tarald taraldsen syntax ove lorenz and curtis rice phonology other teachers who will contribute at various points in the course include christer platzack cecilia falk university of lund halldor a sigurdsson university of iceland tomas riad university of stockholm for further information contact anders holmberg isl linguistics university of tromsoe n number tromsoe norway phone phone fax phone e mail email,legitimate
call for papers linguistics session midwest modern language association st louis missouri november number number number topic dialogue in fiction applications of theories approaches from linguistic and cognitive sciences to dialogue in fiction papers may explain how dialogue in fiction works with or without comparison to real conversation revise existing theories of language use and perhaps offer new ones based on analysis of dialogue in fiction or interpret texts through dialogue please send abstracts or papers to deborah f rossen knill institute for research in cognitive science number walnut street suite 4c philadelphia pa phone deadline march number number questions contact deborah f rossen knill email,legitimate
content length number greetings i m wondering if someone out there can identify the languages used in two recent ibm commercials they have out a series of three ads with people in different countries talking about ibm equipment and services one ad has two old gentlemen walking along what looks like the seine speaking french a second ad has two men sitting in what is apparently a middle eastern marketplace and a third ad has nuns discussing ibm equipment on their way to mass i assume the men are speaking arabic though i would be grateful to have that confirmed but i have no idea what the nuns are speaking anyone know i would also like to take this opportunity to thank all those who responded to my questions early last year about some french italian and swedish expressions in some print ads i meant to send individual thanks but i lost the file in which i had the respondents please forgive me and accept this general acknowledgment instead if any of you who did respond would like to know more about what we did with your input i would be glad to send you more information even the paper we wrote if you want thanks very much mary ellen email,legitimate
fulbright announcement please post disseminate to lists subject fulbright scholar program competition for phone fulbright chairs in western europe and canada action submissions due may number number info dr karen adams or ms margo cunniffe council for international exchange of scholars number tilden street n w suite 5m washington dc phone telephone number number number or number phone fax number number number internet email award descriptions number italy venice chair department of philosophy and theory of sciences university of venice three months between number number and number number specialty philosophy of language or theoretical linguistics assignment grantee will teach on both graduate and undergraduate levels and is to offer an advanced class in either contemporary theoretical linguistics theory of syntax and the syntax of logical form or contemporary philosophy of language theory of meaning semantics of natural language theory of predication language and ontology lecturing in english number italy naples chair department of modern philology university of naples three months between number number number and number number number specialty american literature american cultural studies american language or general linguistics assignment lecturing in english occasional guest lectures at other cultural institutions in naples and elsewhere in italy,legitimate
